a,b,c
0.0,0.0,0.5806866214364547
0.6363326181858954,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8420230750119814,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.6364035974460113
0.0,0.15071754396542947,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.2715429158197419
0.9401334424577784,0.3975720210875223,0.0
0.20891871761536018,0.0,0.5309345833171364
0.0,0.3722827665617431,0.0
0.0,0.0,0.0
0.0,0.5393774484000625,0.0
0.0,0.0,0.0
0.0,0.0,0.09179906581344188
0.6807054515547668,0.0,0.0
0.5177513505274801,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.27396112732113376
0.0,0.0,0.0
0.0,0.0,0.0
0.050768531039396936,0.0,0.048058924197033726
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.08085332633271525,0.0
0.0,0.0,0.0
0.6720261352951994,0.0,0.6497736826427634
0.0,0.0,0.0
0.7209399242521293,0.0,0.0
0.6382705938433504,0.0,0.0
0.0,0.0,0.0
0.0,0.9803315837160457,0.0
0.0,0.0,0.0
0.0,0.9944574626108207,0.3114133093912942
0.9300168348108319,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.9652518303907698
0.0,0.6958128067908819,0.0
0.0,0.0,0.0
0.0,0.30536386034439345,0.3418796667164016
0.0,0.0,0.8877700987609598
0.32815266747473193,0.17533026988933853,0.8486697949246744
0.0,0.0,0.5010398839152592
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.30569701928718185,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.09387329008129175
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6957843993450822,0.26089362334171395,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.7983451249845511
0.7089109969101186,0.0,0.0
0.0,0.0,0.39882444244455306
0.3586467812961639,0.0,0.0
0.0,0.0,0.0
0.0,0.018075363615520867,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.345071248026683,0.0,0.8671989335550038
0.0,0.8031397563798959,0.0
0.0,0.9442515971251674,0.0
0.0,0.0,0.6115137108656805
0.0,0.0,0.0
0.0,0.3463043210894008,0.6839637693981411
0.0,0.0,0.0
0.0,0.6278944149486361,0.0
0.0,0.3946914668094722,0.0
0.5425402305548993,0.0,0.0
0.0,0.0,0.17495492709593619
0.0,0.0,0.0
0.0,0.0,0.3032655146732228
0.0,0.8069129770507795,0.0
0.04771612769164879,0.7111495324380178,0.0
0.0,0.20668435987674538,0.9654193512887936
0.24215993827742588,0.6689882547142286,0.0
0.0,0.0,0.0
0.0,0.25046181860558414,0.0
0.0,0.0,0.2508605273466612
0.17592525267734538,0.25620694359445806,0.6771683423829817
0.0,0.969536867114159,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.9152137276264805,0.0,0.0
0.0,0.0,0.0
0.0,0.6995122107671938,0.0
0.0388347344294232,0.0,0.43567289867789105
0.4703006344460384,0.0,0.5166358912710143
0.0,0.0,0.6343513447013638
0.0,0.6451033620305648,0.7477187738974139
0.9977404850489419,0.0,0.3500784076946757
0.0,0.0,0.0
0.0,0.0,0.0
0.978892858275009,0.0,0.0
0.033050732900548385,0.9818408883105311,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.01530454029038475
0.0,0.933436308079483,0.0
0.0,0.0,0.0
0.5733670416719333,0.0,0.0
0.0,0.32595890520188475,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.08159418040024036,0.0
0.0,0.0,0.5527649668354899
0.0,0.0,0.0
0.44778316457309164,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.3307503046705137
0.0,0.0,0.5370824271966554
0.0,0.0,0.2795603417967586
0.0,0.1788227092213288,0.8604046183116753
0.3225507642386005,0.0,0.0
0.0,0.0,0.6689240596630996
0.8164318732193839,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.23978735915740323
0.8866171489506599,0.0,0.0
0.0,0.266781014275285,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5528199769079077,0.0,0.8278690037875887
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.8206394757439553,0.0
0.0,0.0,0.42831447494010777
0.0,0.0,0.0
0.0,0.0,0.9491457315913859
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.6756901170392807
0.0,0.0,0.5722924691708383
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.4938937151834346,0.0
0.0,0.994550510797341,0.0
0.0704161308495439,0.0,0.0
0.0,0.0,0.0
0.0,0.36965445606140446,0.0
0.6571113285001668,0.940523264489604,0.0
0.09617655109142076,0.7440426429991154,0.0
0.23018526824155527,0.46994451399094295,0.0
0.0,0.0,0.0
0.0,0.0,0.4852798742763157
0.0,0.0,0.0
0.0,0.0,0.0
0.9356349942209475,0.552893089071328,0.41135390505667857
0.0,0.0,0.0
0.0,0.0,0.45726516161372854
0.0,0.0,0.5081987767407187
0.18286599710730733,0.0,0.0
0.0,0.13662133144202881,0.4867421529594551
0.0,0.017161101831750236,0.19427395351204224
0.0,0.0,0.0
0.0,0.5414479738275658,0.0
0.0,0.9821683433294356,0.7441705230565623
0.0,0.43439436551042865,0.2839209747374657
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.43847412301808697
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.260829174830409
0.0,0.0,0.0
0.0,0.8563242918780924,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3726868670940493,0.0,0.0
0.0,0.0,0.0
0.9962536997579243,0.07094091699992766,0.0
0.0,0.0,0.0
0.8095010461397154,0.8583588048137198,0.19091103115034602
0.0,0.8442131407263114,0.0
0.0,0.0,0.0
0.0,0.0,0.1327454222429698
0.0,0.0,0.5660372104940763
0.0,0.811204176736003,0.0
0.0,0.0,0.09415698826856012
0.0,0.2965101436477985,0.0
0.0,0.0,0.0
0.027616771873704704,0.0,0.0
0.4991933798847523,0.0,0.0
0.0,0.1550416167277442,0.0
0.0,0.0,0.0
0.0,0.8466611422383059,0.25025136051586405
0.3080607918523892,0.9795105286215086,0.2202410475655483
0.7145951041799521,0.0,0.651484771857788
0.0,0.0,0.0
0.0,0.3664687845828599,0.0
0.0,0.8204268437712681,0.0
0.0,0.22855002179729966,0.0
0.0,0.0,0.0
0.0,0.0,0.6711435168240506
0.0,0.0,0.0
0.5926967238793935,0.0,0.0
0.0,0.0,0.04360377175443375
0.2684748568901568,0.0,0.0
0.19438003399487302,0.0,0.0
0.0,0.0,0.4045081271221901
0.0,0.0,0.0
0.0,0.29529058841893874,0.0
0.0,0.0,0.906098787718554
0.0,0.0,0.0
0.0,0.0,0.0
0.7633644230039109,0.5166962574265667,0.0
0.0,0.0,0.0
0.0,0.0,0.9438916045607572
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.12850035323391018
0.3967838272138884,0.0,0.0
0.0,0.0,0.7003578299727713
0.8009492946823997,0.0,0.0
0.6158511643899138,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.25416364906973876
0.0,0.0,0.5788648955075587
0.6884999007653664,0.9346139973397097,0.8509284487675127
0.9736638367553173,0.0,0.0
0.7300393165618185,0.0,0.0
0.2788713525921819,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.3266512417960409,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.883494022266259,0.0,0.0
0.837710105907328,0.0,0.0
0.0,0.39882090144479454,0.0
0.0,0.0,0.0
0.0,0.8641675650719031,0.0
0.0,0.12016464780564218,0.7352161192407721
0.0,0.0,0.04106751676787579
0.8866803872980475,0.0,0.0
0.0,0.0,0.0
0.0,0.20907162073771368,0.9766149558326529
0.0,0.50881407683876,0.0
0.0,0.5582934536070976,0.768554014306309
0.0,0.05819359550844361,0.08087296661719767
0.0,0.4856137535862266,0.0
0.0,0.5898708475605439,0.0
0.0,0.18870710834137938,0.0
0.6259396701015728,0.0,0.0
0.0,0.0,0.0
0.5720041992091831,0.0,0.0
0.4110370133182313,0.0,0.13835309241780136
0.0,0.0,0.983423140894843
0.0,0.0,0.0
0.7853406511139436,0.8389335020693633,0.0
0.0,0.18433367433137005,0.0
0.0,0.0,0.8826363431893397
0.3486659872917294,0.0,0.0
0.0,0.15864644764249103,0.0
0.0,0.0,0.07534625600612821
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.4646738129396114,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.005184862773986776,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.43352073758074205
0.0,0.4197808564462765,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.9530718470239532,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.44842414298624733
0.0,0.0,0.0
0.0,0.0,0.44235222973110444
